state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,relative_l2_difference,snr_sep,snr_sep_rms,rms_g_difference,mean_rms_g,rms_g_relative,rms_g_gap_percent,sigma_reference
0,1,0.05,0.05,0.01,0.1,0.005443445811263267,27.21722905631634,2.721722905631634,8.70887382009619e-05,0.015998825233230547,0.005443445811263268,0.5443445811263268,3.1997650466461095e-05
1,0,0.05,0.05,0.1,0.01,0.005443445811263267,27.21722905631634,2.721722905631634,8.70887382009619e-05,0.015998825233230547,0.005443445811263268,0.5443445811263268,3.1997650466461095e-05
2,5,0.05,0.06875,1.0,1.0,0.029952408221562206,149.76204110781106,14.976204110781104,0.0004662662973562587,0.015566905135213863,0.02995240822156221,2.995240822156221,3.113381027042773e-05
3,11,0.06875,0.10625000000000001,0.01,1.0,0.004175881176346532,20.87940588173266,2.087940588173266,6.995100930875964e-05,0.01675119725747551,0.004175881176346532,0.41758811763465326,3.350239451495102e-05
4,11,0.06875,0.10625000000000001,0.1,1.0,0.00516100188987366,25.805009449368292,2.5805009449368295,8.614602395357901e-05,0.016691724938641295,0.005161001889873659,0.516100188987366,3.338344987728259e-05
5,1,0.06875,0.05,1.0,0.1,0.010232477885030174,51.16238942515087,5.116238942515087,0.0001624661377955247,0.015877497085354863,0.010232477885030174,1.0232477885030173,3.1754994170709726e-05
6,7,0.08750000000000001,0.08750000000000001,0.01,0.1,0.008744843623686832,43.724218118434166,4.372421811843417,0.0001524054291059111,0.01742803366924666,0.008744843623686833,0.8744843623686833,3.485606733849332e-05
7,6,0.08750000000000001,0.08750000000000001,0.1,0.01,0.008744843623686832,43.724218118434166,4.372421811843417,0.0001524054291059111,0.01742803366924666,0.008744843623686833,0.8744843623686833,3.485606733849332e-05
8,0,0.08750000000000001,0.05,1.0,0.01,0.013838034696744002,69.19017348372,6.919017348372002,0.00022352942395859637,0.016153263729797654,0.013838034696744002,1.3838034696744002,3.230652745959531e-05
9,20,0.10625000000000001,0.16250000000000003,0.01,1.0,0.00770317792432013,38.51588962160066,3.8515889621600654,0.00014004483452143064,0.018180137587019418,0.007703177924320131,0.7703177924320131,3.636027517403884e-05
10,20,0.10625000000000001,0.16250000000000003,0.1,1.0,0.005523266209317106,27.616331046585533,2.7616331046585536,9.990570345063935e-05,0.018088156475621266,0.005523266209317107,0.5523266209317107,3.617631295124253e-05
11,3,0.10625000000000001,0.06875,1.0,0.01,0.004175881176346532,20.87940588173266,2.087940588173266,6.995100930875964e-05,0.01675119725747551,0.004175881176346532,0.41758811763465326,3.350239451495102e-05
12,26,0.125,0.2,0.01,1.0,0.006670510768529965,33.352553842649826,3.3352553842649826,0.00012681431217351942,0.019011184686456406,0.0066705107685299655,0.6670510768529965,3.802236937291281e-05
13,23,0.125,0.18125000000000002,0.1,1.0,0.009876722381274086,49.383611906370426,4.938361190637043,0.00018440076485954718,0.018670238743286383,0.009876722381274086,0.9876722381274086,3.734047748657277e-05
14,7,0.125,0.08750000000000001,1.0,0.1,0.009953723107380331,49.76861553690165,4.976861553690165,0.00017193617897490705,0.0172735545403531,0.00995372310738033,0.9953723107380329,3.45471090807062e-05
15,16,0.14375000000000002,0.14375000000000002,0.01,0.1,0.012791963231656735,63.95981615828368,6.395981615828368,0.0002503803319454903,0.01957325294102355,0.012791963231656735,1.2791963231656736,3.91465058820471e-05
16,15,0.14375000000000002,0.14375000000000002,0.1,0.01,0.012791963231656735,63.95981615828368,6.395981615828368,0.0002503803319454903,0.01957325294102355,0.012791963231656735,1.2791963231656736,3.91465058820471e-05
17,6,0.14375000000000002,0.08750000000000001,1.0,0.01,0.009450430178511493,47.25215089255747,4.725215089255746,0.0001661565423835108,0.01758190254252337,0.009450430178511493,0.9450430178511494,3.516380508504674e-05
18,19,0.16250000000000003,0.16250000000000003,0.01,0.1,0.013950610420617172,69.75305210308585,6.975305210308585,0.00028303865770799554,0.02028862172867372,0.013950610420617172,1.395061042061717,4.0577243457347436e-05
19,18,0.16250000000000003,0.16250000000000003,0.1,0.01,0.013950610420617172,69.75305210308585,6.975305210308585,0.00028303865770799554,0.02028862172867372,0.013950610420617172,1.395061042061717,4.0577243457347436e-05
20,10,0.16250000000000003,0.10625000000000001,1.0,0.1,0.005523266209317106,27.616331046585533,2.7616331046585536,9.990570345063935e-05,0.018088156475621266,0.005523266209317107,0.5523266209317107,3.617631295124253e-05
21,22,0.18125000000000002,0.18125000000000002,0.01,0.1,0.015030265282233939,75.15132641116969,7.51513264111697,0.00031569739313229607,0.02100411318125279,0.01503026528223394,1.503026528223394,4.200822636250558e-05
22,21,0.18125000000000002,0.18125000000000002,0.1,0.01,0.015030265282233939,75.15132641116969,7.51513264111697,0.00031569739313229607,0.02100411318125279,0.01503026528223394,1.503026528223394,4.200822636250558e-05
23,13,0.18125000000000002,0.125,1.0,0.1,0.009876722381274086,49.383611906370426,4.938361190637043,0.00018440076485954718,0.018670238743286383,0.009876722381274086,0.9876722381274086,3.734047748657277e-05
24,25,0.2,0.2,0.01,0.1,0.01603866450243868,80.19332251219339,8.019332251219339,0.00034835522588766465,0.021719715244040254,0.01603866450243868,1.603866450243868,4.343943048808051e-05
25,24,0.2,0.2,0.1,0.01,0.01603866450243868,80.19332251219339,8.019332251219339,0.00034835522588766465,0.021719715244040254,0.01603866450243868,1.603866450243868,4.343943048808051e-05
26,12,0.2,0.125,1.0,0.01,0.006670510768529965,33.352553842649826,3.3352553842649826,0.00012681431217351942,0.019011184686456406,0.0066705107685299655,0.6670510768529965,3.802236937291281e-05
